sample #',V5',V2'
7680,878,1035
7690,868,1032
7700,868,1040
7710,874,1047
7720,902,1050
7730,921,1067
7740,926,1075
7750,928,1083
7760,928,1079
7770,916,1095
7780,919,1063
7790,910,1077
7800,921,1077
7810,920,1084
7820,921,1084
7830,925,1082
7840,940,1068
7850,952,1076
7860,936,1062
7870,929,1056
7880,932,1058
7890,930,1059
7900,1186,1157
7910,1014,1100
7920,1195,1102
7930,930,969
7940,911,1043
7950,899,1046
7960,893,1050
7970,897,1030
7980,896,1034
7990,890,1025
8000,905,1051
8010,908,1044
8020,927,1038
8030,944,1064
8040,946,1048
8050,942,1060
8060,945,1042
8070,939,1023
8080,931,1041
8090,921,1036
8100,923,1048
8110,913,1033
8120,930,1032
8130,925,1038
8140,944,1023
8150,933,1038
8160,925,1043
8170,935,1026
8180,1044,1027
8190,980,1050
8200,1005,999
8210,962,958
8220,886,957
8230,853,870
8240,938,888
8250,909,1001
8260,940,1083
8270,920,1136
8280,950,1072
8290,944,1058
8300,959,1051
8310,946,1087
8320,942,1069
8330,940,1095
8340,942,1118
8350,946,1056
8360,950,1048
8370,944,1046
8380,963,1059
8390,950,1042
8400,979,1046
8410,948,1036
8420,904,1037
8430,923,1031
8440,935,1071
8450,933,1010
8460,917,1023
8470,928,1001
8480,958,1044
8490,1033,1024
8500,995,1053
8510,991,1023
8520,921,991
8530,891,913
8540,888,850
8550,971,921
8560,978,954
8570,1010,993
8580,1015,1008
8590,1077,1011
8600,1010,1005
8610,1028,1029
8620,1055,1025
8630,1062,1014
8640,1055,1049
8650,1058,1031
8660,1038,1020
8670,1037,1005
8680,1045,983
8690,1055,961
8700,1036,970
8710,1037,976
8720,1040,974
8730,1034,988
8740,1036,975
8750,1040,978
8760,1039,975
8770,1048,978
8780,1050,985
8790,1079,997
8800,1124,1028
8810,1098,990
8820,1027,969
8830,946,904
8840,969,843
8850,1057,934
8860,1074,977
8870,1096,1016
8880,1112,1023
8890,1108,1025
8900,1114,1031
8910,1115,1035
8920,1120,1047
8930,1131,1059
8940,1125,1058
8950,1115,1055
8960,1104,1044
8970,1091,1029
8980,1086,1020
8990,1085,1020
9000,1076,1014
9010,1074,1011
9020,1068,1013
9030,1058,1005
9040,1059,1000
9050,1055,1005
9060,1056,1002
9070,1057,999
9080,1061,1004
9090,1101,1038
9100,1090,1006
9110,1042,979
9120,930,947
9130,910,881
9140,984,856
9150,1035,953
9160,1052,989
9170,1064,1026
9180,1073,1031
9190,1076,1040
9200,1079,1058
9210,1086,1068
9220,1089,1065
9230,1109,1080
9240,1092,1077
9250,1074,1063
9260,1064,1042
9270,1048,1028
9280,1042,1022
9290,1042,1019
9300,1034,1016
9310,1021,1010
9320,1032,1008
9330,1020,1002
9340,1017,1001
9350,1013,999
9360,1005,998
9370,1013,999
9380,1049,1041
9390,1045,1012
9400,1006,966
9410,876,945
9420,854,900
9430,928,876
9440,990,961
9450,1000,993
9460,1022,1014
9470,1034,1024
9480,1032,1018
9490,1035,1028
9500,1040,1036
9510,1038,1045
9520,1050,1054
9530,1047,1055
9540,1031,1046
9550,1019,1028
9560,1012,1024
9570,1003,1014
9580,1002,1005
9590,1011,1009
9600,991,1000
9610,985,995
9620,985,989
9630,979,989
9640,981,990
9650,984,988
9660,983,993
9670,1141,1118
9680,1282,1044
9690,965,931
9700,964,983
9710,959,982
9720,947,975
9730,941,973
9740,931,970
9750,920,966
9760,917,962
9770,919,964
9780,923,968
9790,945,978
9800,966,994
9810,970,996
9820,973,997
9830,972,998
9840,966,995
9850,967,993
9860,970,1000
9870,968,996
9880,971,997
9890,974,995
9900,967,999
9910,965,994
9920,976,995
9930,970,993
9940,967,987
9950,1124,1046
9960,1004,1015
9970,1000,991
9980,930,977
9990,896,957
10000,942,915
10010,943,968
10020,973,995
10030,977,991
10040,981,995
10050,976,994
10060,999,992
10070,1003,1006
10080,1002,1012
10090,1007,1014
10100,1003,1019
10110,982,1010
10120,980,1006
10130,969,1007
10140,962,1004
10150,960,1002
10160,969,1006
10170,964,1006
10180,959,998
10190,960,997
10200,956,996
10210,960,999
10220,962,1000
10230,1159,1135
10240,1002,1022
10250,988,983
10260,869,957
10270,816,891
10280,880,840
10290,950,936
10300,974,1008
10310,989,952
10320,985,1015
10330,996,1045
10340,1004,989
10350,1006,1037
10360,1011,1043
10370,1023,1101
10380,1010,980
10390,996,1053
10400,994,1034
10410,978,1099
10420,975,1100
10430,982,1010
10440,976,1033
10450,973,1031
10460,971,1039
10470,969,1040
10480,969,1021
10490,969,1040
10500,961,1043
10510,957,1046
10520,967,1053
10530,1060,1082
10540,1017,1091
10550,1022,1069
10560,991,1044
10570,860,1023
10580,828,982
10590,883,957
10600,949,1031
10610,966,1056
10620,982,1081
10630,988,1095
10640,997,1064
10650,996,1081
10660,1003,1090
10670,1010,1095
10680,1015,1100
10690,1019,1098
10700,1011,1093
10710,996,1080
10720,985,1068
10730,984,1063
10740,974,1056
10750,968,1052
10760,970,1047
10770,962,1046
10780,957,1038
10790,955,1040
10800,954,1039
10810,952,1032
10820,953,1031
10830,956,1031
10840,1008,1099
10850,1000,1050
10860,975,1020
10870,876,989
10880,822,940
10890,851,879
10900,925,949
10910,949,1004
10920,965,1025
10930,983,1038
10940,987,1043
10950,979,1045
10960,987,1053
10970,996,1061
10980,999,1063
10990,1003,1064
11000,993,1060
11010,975,1042
11020,971,1024
11030,966,1026
11040,959,1019
11050,958,1032
11060,954,1010
11070,947,1010
11080,947,1002
11090,947,1001
11100,940,996
11110,941,994
11120,942,996
11130,977,1005
11140,996,1025
11150,980,995
11160,923,972
11170,815,927
11180,821,865
11190,908,888
11200,942,959
11210,957,988
11220,970,1001
11230,978,1008
11240,987,1027
11250,992,1020
11260,1000,1032
11270,1009,1046
11280,1006,1050
11290,997,1042
11300,990,1030
11310,986,1015
11320,973,1004
11330,964,998
11340,959,999
11350,955,981
11360,951,988
11370,943,996
11380,946,965
11390,946,976
11400,945,982
11410,942,978
11420,956,995
11430,1138,1057
11440,1087,938
11450,930,967
11460,925,974
11470,923,971
11480,913,945
11490,907,981
11500,900,942
11510,895,959
11520,894,949
11530,906,959
11540,931,973
11550,944,983
11560,951,985
11570,956,996
11580,946,971
11590,946,976
11600,947,982
11610,943,977
11620,941,975
11630,946,974
11640,950,990
11650,962,970
11660,970,987
11670,957,960
11680,950,982
11690,955,986
11700,960,962
11710,963,972
11720,1147,1134
11730,1176,959
11740,933,934
11750,944,967
11760,938,966
11770,931,958
11780,928,972
11790,922,951
11800,919,957
11810,925,956
11820,930,971
11830,944,958
11840,960,981
11850,970,1006
11860,971,1019
11870,967,969
11880,966,987
11890,959,994
11900,963,982
11910,966,990
11920,961,975
11930,966,980
11940,966,994
11950,964,963
11960,963,1000
11970,955,967
11980,970,973
11990,977,974
12000,977,973
12010,1021,1026
12020,1007,972
12030,945,968
12040,843,919
12050,887,877
12060,956,920
12070,954,946
12080,976,984
12090,979,980
12100,985,985
12110,989,995
12120,994,1005
12130,995,1001
12140,1000,1018
12150,997,1018
12160,982,1005
12170,974,1007
12180,969,1003
12190,967,1011
12200,966,1005
12210,963,1003
12220,962,1007
12230,959,1010
12240,957,1004
12250,950,1009
12260,950,1008
12270,950,1010
12280,961,1019
12290,1011,1066
12300,996,1020
12310,953,989
12320,841,952
12330,862,886
12340,944,948
12350,959,997
12360,973,1026
12370,985,1033
12380,994,1048
12390,1002,1055
12400,1005,1060
12410,1008,1072
12420,1015,1083
12430,1006,1077
12440,997,1073
12450,984,1063
12460,980,1049
12470,977,1047
12480,975,1043
12490,970,1040
12500,974,1041
12510,972,1042
12520,965,1027
12530,965,1033
12540,962,1030
12550,964,1026
12560,969,1028
12570,1008,1035
12580,1019,1060
12590,1001,1027
12600,944,993
12610,827,966
12620,845,921
12630,922,909
12640,978,987
12650,988,1018
12660,1002,1038
12670,1008,1040
12680,1013,1051
12690,1020,1057
12700,1024,1062
12710,1036,1072
12720,1038,1078
12730,1040,1080
12740,1037,1079
12750,1023,1066
12760,1008,1044
12770,1001,1035
12780,994,1030
12790,992,1020
12800,993,1025
12810,984,1021
12820,978,1008
12830,979,1014
12840,975,1014
12850,973,1006
12860,974,1008
12870,973,1010
12880,1006,1014
12890,1028,1040
12900,1010,1008
12910,955,975
12920,846,946
12930,852,896
12940,932,897
12950,972,968
12960,983,996
12970,1004,1018
12980,1011,1033
12990,1015,1033
13000,1028,1033
13010,1043,1047
13020,1038,1055
13030,1037,1054
13040,1041,1066
13050,1028,1057
13060,1014,1040
13070,1008,1031
13080,999,1022
13090,995,1014
13100,996,1016
13110,982,1009
13120,980,1002
13130,978,1007
13140,973,1005
13150,973,1000
13160,973,1002
13170,972,1003
13180,1000,1011
13190,1025,1040
13200,998,1003
13210,898,973
13220,835,920
13230,876,867
13240,955,930
13250,972,979
13260,985,1010
13270,994,1021
13280,1002,1031
13290,1009,1038
13300,1012,1044
13310,1022,1057
13320,1028,1073
13330,1031,1076
13340,1032,1069
13350,1023,1056
13360,999,1039
13370,992,1030
13380,986,1026
13390,978,1016
13400,981,1022
13410,974,1017
13420,972,1015
13430,972,1013
13440,969,1013
13450,966,1009
13460,969,1017
13470,975,1020
13480,1037,1115
13490,1010,1039
13500,973,1010
13510,874,979
13520,836,930
13530,892,876
13540,963,958
13550,977,995
13560,991,1029
13570,1006,1036
13580,1016,1045
13590,1022,1053
13600,1030,1059
13610,1042,1076
13620,1051,1087
13630,1041,1084
13640,1028,1075
13650,1012,1059
13660,1004,1047
13670,1002,1052
13680,1001,1042
13690,1007,1040
13700,1004,1039
13710,990,1031
13720,983,1025
13730,983,1027
13740,985,1029
13750,986,1029
13760,1003,1035
13770,1068,1099
13780,1228,1098
13790,1087,964
13800,970,1015
13810,976,1025
13820,965,1026
13830,957,1025
13840,961,1022
13850,949,1018
13860,952,1019
13870,960,1018
13880,958,1022
13890,971,1034
13900,988,1044
13910,1006,1050
13920,1004,1058
13930,1008,1045
13940,1002,1047
13950,1004,1069
13960,998,1036
13970,1003,1043
13980,1001,1049
13990,1000,1081
14000,1005,1055
14010,996,1018
14020,1012,1040
14030,1013,1046
14040,1001,1045
14050,999,1033
14060,1139,1257
14070,1037,1069
14080,1031,1027
14090,991,1033
14100,1002,1007
14110,956,972
14120,987,1031
14130,993,1040
14140,992,1019
14150,1001,1038
14160,998,1042
14170,998,1038
14180,1006,1071
14190,1010,1078
14200,1010,1063
14210,1004,1063
14220,991,1074
14230,988,1054
14240,984,1077
14250,986,1047
14260,971,1056
14270,981,1066
14280,976,1057
14290,970,1048
14300,974,1058
14310,978,1023
14320,966,1049
14330,972,1054
14340,1055,1164
14350,1025,1077
14360,973,1036
14370,850,992
14380,853,927
14390,944,934
14400,972,1014
14410,977,1047
14420,1000,1059
14430,1006,1071
14440,1006,1075
14450,1019,1087
14460,1024,1096
14470,1025,1098
14480,1014,1098
14490,1003,1086
14500,993,1072
14510,989,1064
14520,987,1065
14530,977,1046
14540,984,1064
14550,975,1061
14560,975,1055
14570,972,1055
14580,970,1053
14590,966,1053
14600,973,1054
14610,979,1060
14620,1023,1086
14630,1013,1062
14640,970,1047
14650,867,1011
14660,862,952
14670,937,927
14680,975,1008
14690,991,1031
14700,1003,1060
14710,1011,1064
14720,1022,1073
14730,1020,1081
14740,1036,1082
14750,1039,1092
14760,1038,1118
14770,1037,1110
14780,1038,1103
14790,1017,1090
14800,1010,1075
14810,1001,1064
14820,994,1059
14830,989,1058
14840,991,1056
14850,985,1051
14860,978,1050
14870,979,1048
14880,980,1045
14890,981,1041
14900,978,1040
14910,980,1043
14920,983,1042
14930,1071,1189
14940,1016,1068
14950,989,1026
14960,869,994
14970,821,944
14980,876,897
14990,962,973
15000,986,1027
15010,1008,1059
15020,1033,1072
15030,1030,1072
15040,1026,1077
15050,1039,1092
15060,1047,1104
15070,1048,1107
15080,1052,1111
15090,1042,1103
15100,1022,1087
15110,1016,1072
15120,1003,1062
15130,996,1055
15140,994,1056
15150,992,1058
15160,976,1052
15170,987,1053
15180,976,1052
15190,973,1046
15200,975,1047
15210,976,1050
15220,975,1046
15230,1142,1106
15240,1022,1078
15250,998,1041
15260,905,1020
15270,836,964
15280,871,908
15290,960,984
15300,981,1026
15310,993,1058
15320,1001,1071
15330,1009,1081
15340,1012,1088
15350,1018,1104
15360,1028,1113
15370,1048,1119
15380,1030,1121
15390,1007,1109
15400,987,1083
15410,993,1075
15420,985,1072
15430,975,1063
15440,976,1067
15450,973,1067
15460,964,1060
15470,969,1065
15480,960,1061
15490,948,1061
15500,960,1063
15510,954,1065
15520,991,1070
15530,1005,1101
15540,982,1067
15550,898,1039
15560,819,987
15570,845,935
15580,935,1000
15590,949,1038
15600,965,1071
15610,978,1077
15620,987,1087
15630,989,1094
15640,995,1099
15650,1004,1112
15660,1011,1123
15670,1009,1124
15680,1009,1122
15690,992,1116
15700,984,1097
15710,977,1084
15720,980,1084
15730,963,1074
15740,964,1073
15750,954,1069
15760,947,1065
15770,937,1064
15780,952,1070
15790,942,1060
15800,948,1066
15810,1062,1106
15820,1149,1050
15830,924,1044
15840,924,1060
15850,915,1052
15860,915,1052
15870,906,1048
15880,896,1044
15890,891,1039
15900,891,1039
15910,897,1037
15920,924,1053
15930,933,1066
15940,948,1072
15950,956,1077
15960,953,1074
15970,949,1071
15980,956,1072
15990,952,1075
16000,947,1070
16010,952,1068
16020,956,1070
16030,949,1070
16040,961,1065
16050,966,1065
16060,962,1057
16070,966,1055
16080,957,1059
16090,971,1056
16100,1008,1072
16110,1105,1145
16120,1209,1101
16130,947,997
16140,961,1046
16150,949,1043
16160,945,1035
16170,941,1036
16180,932,1026
16190,940,1022
16200,939,1027
16210,946,1024
16220,953,1031
16230,967,1044
16240,985,1049
16250,979,1053
16260,982,1048
16270,981,1041
16280,982,1040
16290,982,1040
16300,976,1036
16310,972,1032
16320,987,1039
16330,988,1031
16340,983,1029
16350,985,1033
16360,981,1028
16370,989,1027
16380,995,1028
16390,1113,1178
16400,1043,1041
16410,1040,1012
16420,914,986
16430,875,945
16440,956,943
16450,966,994
16460,979,1026
16470,998,1027
16480,1008,1029
16490,1013,1033
16500,1021,1039
16510,1019,1045
16520,1026,1054
16530,1038,1055
16540,1020,1048
16550,1007,1035
16560,996,1028
16570,986,1018
16580,989,1017
16590,987,1019
16600,987,1013
16610,985,1012
16620,985,1014
16630,980,1008
16640,980,1005
16650,978,1009
16660,979,1006
16670,1105,1145
16680,1019,1035
16690,988,988
16700,878,959
16710,844,903
16720,914,880
16730,962,961
16740,975,995
16750,994,1014
16760,1003,1021
16770,1011,1027
16780,1014,1032
16790,1021,1041
16800,1022,1056
16810,1024,1057
16820,1023,1058
16830,1011,1048
16840,997,1032
16850,994,1021
16860,992,1022
16870,985,1009
16880,983,1009
16890,982,1010
16900,976,1006
16910,972,1005
16920,975,1008
16930,961,1002
16940,965,1003
16950,967,1005
16960,976,1005
16970,1022,1049
16980,1003,1019
16990,969,991
17000,865,968
17010,832,914
17020,884,863
17030,963,946
17040,977,986
17050,995,1015
17060,1002,1024
17070,1006,1033
17080,1008,1039
17090,1017,1045
17100,1026,1058
17110,1026,1069
17120,1040,1075
17130,1033,1077
17140,1018,1062
17150,1003,1050
17160,996,1037
17170,991,1026
17180,989,1022
17190,987,1024
17200,979,1016
17210,979,1014
17220,982,1013
17230,976,1005
17240,979,1004
17250,981,1003
17260,982,1000
17270,1097,1023
17280,1023,1034
17290,1005,996
17300,946,971
17310,850,941
17320,846,882
17330,929,870
17340,979,955
17350,988,981
17360,1004,1015
