Time,Sample #,Type,Sub,Chan,Aux
10:55.944,236140,/,0,0,
11:03.986,239035,/,0,0,
11:12.128,241966,/,0,0,
11:20.344,244924,f,0,0,
11:28.269,247777,N,0,0,
11:36.461,250726,/,0,0,
11:44.544,253636,/,0,0,
11:52.625,256545,/,0,0,
12:00.811,259492,/,0,0,
12:08.819,262375,/,0,0,
12:16.903,265285,/,0,0,
12:25.094,268234,f,0,0,
12:33.075,271107,N,0,0,
12:41.208,274035,/,0,0,
12:49.381,276977,/,0,0,
12:57.439,279878,/,0,0,
13:05.553,282799,/,0,0,
13:13.753,285751,/,0,0,
13:21.819,288655,/,0,0,
13:29.969,291589,/,0,0,
13:38.058,294501,/,0,0,
13:46.092,297393,/,0,0,
13:54.261,300334,/,0,0,
14:02.364,303251,/,0,0,
14:10.439,306158,/,0,0,
14:18.614,309101,/,0,0,
14:26.744,312028,/,0,0,
14:34.817,314934,/,0,0,
14:42.978,317872,f,0,0,
14:51.122,320804,f,0,0,
14:59.206,323714,/,0,0,
15:07.361,326650,/,0,0,
15:15.442,329559,/,0,0,
15:23.569,332485,f,0,0,
15:31.772,335438,f,0,0,
15:39.764,338315,f,0,0,
15:47.925,341253,/,0,0,
15:56.111,344200,/,0,0,
16:04.172,347102,/,0,0,
16:12.319,350035,f,0,0,
16:20.456,352964,f,0,0,
16:28.503,355861,/,0,0,
16:36.669,358801,/,0,0,
16:44.719,361699,/,0,0,
16:52.814,364613,/,0,0,
17:01.011,367564,/,0,0,
17:09.103,370477,/,0,0,
17:17.208,373395,f,0,0,
17:25.389,376340,f,0,0,
17:33.481,379253,/,0,0,
17:41.544,382156,/,0,0,
17:49.714,385097,/,0,0,
17:57.797,388007,/,0,0,
18:05.925,390933,/,0,0,
18:14.136,393889,f,0,0,
18:22.136,396769,/,0,0,
18:30.317,399714,/,0,0,
18:38.475,402651,/,0,0,
18:46.514,405545,/,0,0,
18:54.697,408491,/,0,0,
19:02.836,411421,/,0,0,
19:10.914,414329,f,0,0,
19:19.069,417265,/,0,0,
19:27.164,420179,/,0,0,
19:35.264,423095,/,0,0,
19:43.456,426044,/,0,0,
19:51.492,428937,/,0,0,
19:59.633,431868,/,0,0,
20:07.828,434818,/,0,0,
20:15.869,437713,/,0,0,
20:24.011,440644,/,0,0,
20:32.117,443562,N,0,0,
20:40.233,446484,f,0,0,
20:48.447,449441,f,0,0,
20:56.497,452339,f,0,0,
21:04.581,455249,/,0,0,
21:12.775,458199,/,0,0,
21:20.875,461115,/,0,0,
21:28.947,464021,f,0,0,
21:37.142,466971,/,0,0,
21:45.217,469878,/,0,0,
21:53.289,472784,/,0,0,
22:01.444,475720,/,0,0,
22:09.519,478627,/,0,0,
22:17.658,481557,/,0,0,
22:25.811,484492,f,0,0,
22:33.858,487389,/,0,0,
22:42.033,490332,/,0,0,
22:50.175,493263,/,0,0,
22:58.214,496157,/,0,0,
23:06.342,499083,/,0,0,
23:14.478,502012,/,0,0,
23:22.608,504939,f,0,0,
23:30.719,507859,/,0,0,
23:38.814,510773,/,0,0,
23:46.917,513690,/,0,0,
23:55.092,516633,/,0,0,
24:03.147,519533,/,0,0,
24:11.239,522446,/,0,0,
24:19.433,525396,f,0,0,
24:27.594,528334,f,0,0,
24:35.631,531227,/,0,0,
24:43.783,534162,/,0,0,
24:51.847,537065,/,0,0,
24:59.947,539981,/,0,0,
25:06.431,542315,/,0,0,
25:14.572,545246,/,0,0,
25:22.625,548145,/,0,0,
25:30.797,551087,f,0,0,
25:38.928,554014,/,0,0,
25:47.033,556932,/,0,0,
25:55.219,559879,/,0,0,
26:03.253,562771,/,0,0,
26:11.328,565678,/,0,0,
26:19.500,568620,f,0,0,
26:27.547,571517,f,0,0,
26:35.669,574441,/,0,0,
26:43.847,577385,/,0,0,
26:51.950,580302,/,0,0,
27:00.114,583241,/,0,0,
27:08.192,586149,/,0,0,
27:16.253,589051,/,0,0,
27:22.697,591371,/,0,0,
27:30.897,594323,/,0,0,
27:39.011,597244,/,0,0,
27:47.111,600160,/,0,0,
27:55.267,603096,f,0,0,
28:03.356,606008,f,0,0,
28:11.489,608936,f,0,0,
28:19.636,611869,f,0,0,
28:27.689,614768,f,0,0,
28:35.869,617713,f,0,0,
28:44.092,620673,f,0,0,
28:52.106,623558,/,0,0,
29:00.239,626486,/,0,0,
29:08.372,629414,/,0,0,
29:16.453,632323,/,0,0,
29:24.625,635265,f,0,0,
29:32.744,638188,/,0,0,
29:40.825,641097,/,0,0,
29:49.033,644052,/,0,0,
29:57.139,646970,/,0,0,
30:05.211,649876,/,0,0,
